STAR SSPOC MASK RA DEC SFFI TEFF f_TEFF NABUN f_NABUN MASS f_MASS LOGL f_LOGL VMIC f_VMIC LOGG f_LOGG DIST f_DIST TIC f_TIC W1mag W2mag W3mag W4mag e_W1mag e_W2mag e_W3mag e_W4mag Bmag/APASS Vmag/APASS e_Bmag/APASS e_Vmag/APASS gpmag e_gpmag rpmag e_rpmag ipmag e_ipmag B1 B2 A C D E e_B1 e_B2 e_A e_C e_D e_E Vmag/Merm91 B-V U-B e_Vmag/Merm91 e_B-V e_U-B Bmag/Merm91 e_Bmag/Merm91 Umag e_Umag S09 S18 e_S09 e_S18 BPmag Gmag RPmag e_BPmag e_Gmag e_RPmag Fnu_12 e_Fnu_12 Fnu_25 e_Fnu_25 Fnu_60 e_Fnu_60 Fnu_100 e_Fnu_100 Bmag/NOMAD05 Vmag/NOMAD05 Rmag Jmag Hmag Kmag e_Jmag e_Hmag e_Kmag
HD34085 "" 0.15 78.63445833333333 -8.201638888888889 5;32 12700.0 1 "" "" "" "" 5.09 1 10.0 1 1.7 1 "" "" 231308237 -1 -2.133 -1.682 0.07 -0.055 "" "" 0.203 0.01 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.138 -0.029 -0.666 0.032 0.004 0.018 0.10900000000000001 0.0322490309931942 -0.557 0.03693237062523877 55.48 12.4 1.06 0.178 "" "" "" "" "" "" 41.3 5 10.6 6 1.98 11 5.43 0 0.305 0.28 0.27 0.206 0.176 0.213 0.228 0.352 0.396
HD37128 6;32 0.15 84.05337499999999 -1.2019194444444443 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 427451176 -1 0.951 0.23 2.188 1.873 "" "" 0.036 0.017 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.694 -0.184 -1.032 0.008 0.008 0.009 1.51 0.01131370849898476 0.478 0.014456832294800959 "" 2.18 "" 0.0617 "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.586 1.704 1.76 2.191 2.408 2.273 0.324 0.18 0.282
HD38771 6;33 0.15 86.93912499999999 -9.669605555555554 "" 25000.0 1 "" "" "" "" 4.78 1 13.0 1 2.7 1 "" "" 66651575 -1 1.64 1.289 2.547 2.362 "" "" 0.015 0.025 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 2.062 -0.177 -1.024 0.01 0.007 0.01 1.8849999999999998 0.012206555615733704 0.8609999999999998 0.0157797338380595 "" 1.427 "" 0.0157 2.527173 2.077826 2.327674 0.043652 0.005736 0.008474 "" "" "" "" "" "" "" "" 1.937 2.048 2.11 2.469 2.686 2.679 0.294 0.218 0.246
HD41117 43;44;45 0.15 90.97991666666665 20.138452777777776 "" 19000.0 1 "" "" "" "" 4.84 1 10.0 1 2.3 1 3112.39426027443 -1 238559148 -1 3.762 3.391 3.516 3.167 0.32 0.267 0.013 0.021 "" "" "" "" "" "" "" "" "" "" -13.57 -7.328 2.145 0.8157 0.5645 -1.406 "" "" 4.1 9.0 9.6 "" 4.628 0.279 -0.682 0.007 0.006 0.011 4.907 0.009219544457292887 4.225 0.014352700094407322 2.117 0.5835 0.051 0.0623 4.669428 4.512109 4.203713 0.004376 0.003124 0.00916 "" "" "" "" "" "" "" "" 4.837 4.641 4.52 4.186 4.039 3.949 0.26 0.202 0.332
HD42087 43;44;45 0.15 92.43329166666666 23.11346388888889 "" 16500.0 1 "" "" "" "" 5.31 1 15.0 1 2.45 1 6446.1447722814 -1 45435560 -1 5.087 4.896 4.947 4.77 0.19 0.07 0.018 0.033 "" "" "" "" "" "" "" "" "" "" -20.65 -11.15 0.6065 -1.229 -0.791 -2.446 "" "" 4.4 "" "" "" 5.743 0.205 -0.631 0.024 0.009 0.005 5.948 0.025632011235952594 5.317 0.026115129714401192 0.6007 "" 0.0013 "" 5.759567 5.736358 5.414857 0.004693 0.003018 0.005211 "" "" "" "" "" "" "" "" 5.93 5.781 5.69 5.393 5.207 5.12 0.21 0.024 0.018
HD51309 6;7;33 0.15 104.03425 -17.05423888888889 "" 15600.0 2 8.23 2 17.0 2 "" "" 18.0 2 2.4 2 452.563784209459 -1 146908355 -1 4.536 4.239 4.497 4.399 0.205 0.117 0.016 0.03 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.9211 0.2697 0.0062 0.0256 4.310691 4.354667 4.35579 0.003197 0.003165 0.00436 0.713 7 0.25 0 0.4 0 5.71 0 4.301 4.379 4.43 4.704 4.619 4.54 0.27 0.276 0.034
HD52089 6;7;33;34 0.15 104.65645833333332 -28.97208611111111 "" 23000.0 1 7.74 2 14.0 2 4.49 1 8.0 1 3.0 1 "" "" 63198307 -1 0.321 0.61 2.228 2.147 "" "" 0.011 0.015 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.502 -0.213 -0.924 0.003 0.009 0.007 1.289 0.009486832980505138 0.3649999999999999 0.011789826122551595 7.526 1.7 0.0904 0.0199 "" "" "" "" "" "" 5.6 5 1.36 6 0.4 0 1.07 0 1.386 1.513 1.58 1.977 2.158 2.222 0.302 0.286 0.308
HD52382 7;33 0.08 105.16391666666665 -9.202966666666667 "" 21500.0 1 "" "" "" "" 4.94 1 10.0 1 2.45 1 3404.33311986826 -1 124953606 -1 5.776 5.617 5.594 5.165 0.136 0.046 0.017 0.065 6.691 6.877 0.0 0.0 6.891 0.0 6.827 0.0 6.525 0.0 -21.4 -11.55 0.3876 -1.188 -0.804 -2.438 "" "" 5.1 "" "" "" 6.491 0.194 -0.741 0.012 0.016 0.028 6.685 0.02 5.944 0.03440930106817051 0.431 "" 0.0514 "" 6.490979 6.399626 6.182207 0.004419 0.002979 0.005034 "" "" "" "" "" "" "" "" 6.624 6.513 6.45 6.04 5.987 5.882 0.02 0.04 0.017
HD53138 7 0.15 105.75612499999998 -23.833291666666668 33;34 18000.0 1 8.22 2 24.0 2 5.31 1 9.0 1 2.25 1 1846.53432932396 -1 80466973 -1 3.274 2.843 3.126 2.926 0.52 0.321 0.014 0.024 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 3.029 -0.09 -0.796 0.017 0.015 0.015 2.939 0.022671568097509268 2.143 0.027184554438136374 "" 0.8737 "" 0.0426 3.14379 3.0407 3.043702 0.019561 0.003724 0.005281 2.35 7 0.647 8 0.4 0 1.59 0 2.928 3.007 3.06 3.334 3.275 3.342 0.266 0.222 0.306
HD57061 7;33;34;61 0.15 109.67699999999998 -24.954361111111112 "" "" "" "" "" "" "" "" "" "" "" "" "" 5500.50387903366 -1 106347931 -1 4.709 4.506 4.725 4.528 0.2 0.109 0.014 0.029 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 4.391 -0.154 -0.99 0.013 0.008 0.008 4.237 0.015264337522473748 3.247 0.017233687939614085 0.6837 "" 0.00386 "" 4.25891 4.282144 4.462919 0.003684 0.004055 0.005415 "" "" "" "" "" "" "" "" 4.238 4.4 4.49 4.763 4.769 4.786 0.252 0.076 0.024
